smiles,Tg
CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,270
CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,270
C(C(C(C(C(CO)O)O)O)O)O,271
C(C(C(C(C=O)O)O)O)O,271
OCC(O)C(O)C(O)C(O)CO,271
CCOC(=O)CCC(C(=O)OCC)c1ccc(N(=O)=O)cc1C,273
C1C(C(C(C(O1)(CO)O)O)O)O,274
C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,274
OC1COC(O)C(O)C1O,274
C(CC(=O)O)C(CC(=O)O)C(=O)O,276
[S](O)(=O)(=O)OC(CO[H])(C(CO[H])O[H])C,276
CC1(C)[C@H]2CC=C(CCO)[C@@H]1C2,277
C(C(C(C(C=O)O)O)O)O,277
CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,277
OCC1(O)OCC(O)C(O)C1O,277
O=CC(O)C(O)C(O)CO,277
CC1(C)C2CC=C(CCO)C1C2,277
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,277
C(C(C(C(C=O)O)O)O)O,277.1
C1C(C(C(C(O1)(CO)O)O)O)O,278
CCOC(=O)OC(C1CC2CCN1CC2C=C)C3=C4C=C(C=CC4=NC=C3)OC,278
C=CC1CN2CCC1CC2C(OC(=O)OCC)c1ccnc2ccc(OC)cc12,278
CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,279
C(C(C(C(C=O)O)O)O)O,279
C(C(=O)O)C(CC(=O)O)(C(=O)O)O,279
CCCC(C)C1(C(=O)NC(=O)NC1=O)CC,279
O=C2c1ccccc1S(=O)(=O)C2C3CCCOC3,279
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,279
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,279
C1C(C(C(C(O1)(CO)O)O)O)O,280
C1=CC(=CC(=C1)N)C(F)(F)F,280
C1CN(CCN1CC=CC2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4,280
Nc1cccc(C(F)(F)F)c1,280
CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,281
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,281
CC1(OCC(O1)CO)C,282
C(C(C(C(C(CO)O)O)O)O)O,282
CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl,282
CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl,282
O=C(O)CC(O)(CC(=O)O)C(=O)O,282
CC1(C)OCC(CO)O1,282
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,282
